longitude,latitude,ghi_kwh_m2_day
-97.05,25.89,4.9213
-97.0,25.89,4.9119
-97.1,25.94,4.9358
-97.05,25.94,4.9264
-97.0,25.94,4.9167
-96.95,25.94,4.9072
-96.9,25.94,4.8986
-97.2,25.99,4.9604
-97.15,25.99,4.9513
-97.1,25.99,4.9425
-97.05,25.99,4.9331
-97.0,25.99,4.9231
-96.95,25.99,4.9128
-96.9,25.99,4.9029
-96.85,25.99,4.894
-96.8,25.99,4.8866
-97.3,26.04,4.9898
-97.25,26.04,4.9779
-97.2,26.04,4.9677
-97.15,26.04,4.9587
-97.1,26.04,4.9501
-97.05,26.04,4.941
-97.0,26.04,4.9307
-96.95,26.04,4.9196
-96.9,26.04,4.9083
-96.85,26.04,4.8978
-96.8,26.04,4.8889
-96.75,26.04,4.8817
-97.6,26.09,5.0756
-97.55,26.09,5.0662
-97.5,26.09,5.0545
-97.45,26.09,5.0408
-97.4,26.09,5.0262
-97.35,26.09,5.0114
-97.3,26.09,4.9976
-97.25,26.09,4.9854
-97.2,26.09,4.9751
-97.15,26.09,4.9662
-97.1,26.09,4.9579
-97.05,26.09,4.9489
-97.0,26.09,4.9386
-96.95,26.09,4.9268
-96.9,26.09,4.9144
-96.85,26.09,4.9024
-96.8,26.09,4.8921
-96.75,26.09,4.8841
-96.7,26.09,4.878
-97.95,26.14,5.0997
-97.9,26.14,5.0964
-97.85,26.14,5.0945
-97.8,26.14,5.0933
-97.75,26.14,5.0921
-97.7,26.14,5.0899
-97.65,26.14,5.0861
-97.6,26.14,5.08
-97.55,26.14,5.0715
-97.5,26.14,5.0605
-97.45,26.14,5.0476
-97.4,26.14,5.0334
-97.35,26.14,5.0188
-97.3,26.14,5.0049
-97.25,26.14,4.9923
-97.2,26.14,4.9817
-97.15,26.14,4.9728
-97.1,26.14,4.9647
-97.05,26.14,4.9561
-97.0,26.14,4.9459
-96.95,26.14,4.9339
-96.9,26.14,4.9207
-96.85,26.14,4.9078
-96.8,26.14,4.8965
-96.75,26.14,4.8876
-96.7,26.14,4.8812
-96.65,26.14,4.8766
-98.3,26.19,5.3075
-98.25,26.19,5.2983
-98.2,26.19,5.2883
-98.15,26.19,5.2778
-98.1,26.19,5.2674
-98.05,26.19,5.258
-98.0,26.19,5.2504
-97.95,26.19,5.0994
-97.9,26.19,5.0961
-97.85,26.19,5.0942
-97.8,26.19,5.0933
-97.75,26.19,5.0923
-97.7,26.19,5.0906
-97.65,26.19,5.0875
-97.6,26.19,5.0823
-97.55,26.19,5.0747
-97.5,26.19,5.0649
-97.45,26.19,5.0529
-97.4,26.19,5.0394
-97.35,26.19,5.0251
-97.3,26.19,5.0109
-97.25,26.19,4.9979
-97.2,26.19,4.9868
-97.15,26.19,4.9777
-97.1,26.19,4.9698
-97.05,26.19,4.9616
-97.0,26.19,4.9518
-96.95,26.19,4.94
-96.9,26.19,4.9267
-96.85,26.19,4.9134
-96.8,26.19,4.9015
-96.75,26.19,4.8922
-96.7,26.19,4.8854
-96.65,26.19,4.8805
-96.6,26.19,4.8766
-98.6,26.24,5.3594
-98.55,26.24,5.3505
-98.5,26.24,5.3409
-98.45,26.24,5.3312
-98.4,26.24,5.3218
-98.35,26.24,5.3131
-98.3,26.24,5.3046
-98.25,26.24,5.296
-98.2,26.24,5.287
-98.15,26.24,5.2774
-98.1,26.24,5.2678
-98.05,26.24,5.2588
-98.0,26.24,5.2512
-97.95,26.24,5.1013
-97.9,26.24,5.0974
-97.85,26.24,5.095
-97.8,26.24,5.0935
-97.75,26.24,5.0922
-97.7,26.24,5.0904
-97.65,26.24,5.0876
-97.6,26.24,5.0831
-97.55,26.24,5.0766
-97.5,26.24,5.0679
-97.45,26.24,5.0571
-97.4,26.24,5.0442
-97.35,26.24,5.0301
-97.3,26.24,5.0156
-97.25,26.24,5.002
-97.2,26.24,4.9904
-97.15,26.24,4.981
-97.1,26.24,4.9731
-97.05,26.24,4.9653
-97.0,26.24,4.9561
-96.95,26.24,4.9449
-96.9,26.24,4.932
-96.85,26.24,4.9188
-96.8,26.24,4.9068
-96.75,26.24,4.897
-96.7,26.24,4.8897
-96.65,26.24,4.8843
-96.6,26.24,4.8799
-96.55,26.24,4.876
-98.75,26.29,5.3855
-98.7,26.29,5.3778
-98.65,26.29,5.3702
-98.6,26.29,5.3619
-98.55,26.29,5.3524
-98.5,26.29,5.3419
-98.45,26.29,5.3312
-98.4,26.29,5.3209
-98.35,26.29,5.3115
-98.3,26.29,5.3031
-98.25,26.29,5.2952
-98.2,26.29,5.2872
-98.15,26.29,5.2788
-98.1,26.29,5.2702
-98.05,26.29,5.2618
-98.0,26.29,5.2541
-97.95,26.29,5.1053
-97.9,26.29,5.1005
-97.85,26.29,5.0972
-97.8,26.29,5.0946
-97.75,26.29,5.0925
-97.7,26.29,5.0902
-97.65,26.29,5.0874
-97.6,26.29,5.0834
-97.55,26.29,5.0779
-97.5,26.29,5.0704
-97.45,26.29,5.0605
-97.4,26.29,5.0482
-97.35,26.29,5.034
-97.3,26.29,5.0192
-97.25,26.29,5.005
-97.2,26.29,4.9928
-97.15,26.29,4.983
-97.1,26.29,4.9751
-97.05,26.29,4.9677
-97.0,26.29,4.9592
-96.95,26.29,4.9487
-96.9,26.29,4.9366
-96.85,26.29,4.9238
-96.8,26.29,4.9118
-96.75,26.29,4.9015
-96.7,26.29,4.8934
-96.65,26.29,4.8871
-96.6,26.29,4.8818
-96.55,26.29,4.8772
-96.5,26.29,4.8731
-98.85,26.34,5.405
-98.8,26.34,5.3958
-98.75,26.34,5.3877
-98.7,26.34,5.3805
-98.65,26.34,5.3732
-98.6,26.34,5.3651
-98.55,26.34,5.3554
-98.5,26.34,5.3445
-98.45,26.34,5.3328
-98.4,26.34,5.3216
-98.35,26.34,5.3116
-98.3,26.34,5.3031
-98.25,26.34,5.2957
-98.2,26.34,5.2887
-98.15,26.34,5.2815
-98.1,26.34,5.2738
-98.05,26.34,5.2658
-98.0,26.34,5.2582
-97.95,26.34,5.1106
-97.9,26.34,5.1049
-97.85,26.34,5.1004
-97.8,26.34,5.0966
-97.75,26.34,5.0934
-97.7,26.34,5.0904
-97.65,26.34,5.0873
-97.6,26.34,5.0838
-97.55,26.34,5.0791
-97.5,26.34,5.0725
-97.45,26.34,5.0634
-97.4,26.34,5.0515
-97.35,26.34,5.0374
-97.3,26.34,5.0222
-97.25,26.34,5.0075
-97.2,26.34,4.9949
-97.15,26.34,4.9849
-97.1,26.34,4.9769
-97.05,26.34,4.9698
-97.0,26.34,4.9618
-96.95,26.34,4.9522
-96.9,26.34,4.9408
-96.85,26.34,4.9285
-96.8,26.34,4.9163
-96.75,26.34,4.9055
-96.7,26.34,4.8962
-96.65,26.34,4.8886
-96.6,26.34,4.8822
-96.55,26.34,4.8767
-96.5,26.34,4.872
-96.45,26.34,4.8681
-96.4,26.34,4.8649
-98.95,26.39,5.4278
-98.9,26.39,5.4169
-98.85,26.39,5.4066
-98.8,26.39,5.3975
-98.75,26.39,5.3897
-98.7,26.39,5.3828
-98.65,26.39,5.376
-98.6,26.39,5.3683
-98.55,26.39,5.3588
-98.5,26.39,5.3477
-98.45,26.39,5.3355
-98.4,26.39,5.3236
-98.35,26.39,5.313
-98.3,26.39,5.3043
-98.25,26.39,5.2972
-98.2,26.39,5.2909
-98.15,26.39,5.2844
-98.1,26.39,5.2774
-98.05,26.39,5.2699
-98.0,26.39,5.2622
-97.95,26.39,5.1159
-97.9,26.39,5.1095
-97.85,26.39,5.1038
-97.8,26.39,5.0988
-97.75,26.39,5.0945
-97.7,26.39,5.0908
-97.65,26.39,5.0875
-97.6,26.39,5.0843
-97.55,26.39,5.0803
-97.5,26.39,5.0745
-97.45,26.39,5.066
-97.4,26.39,5.0545
-97.35,26.39,5.0404
-97.3,26.39,5.0251
-97.25,26.39,5.0103
-97.2,26.39,4.9974
-97.15,26.39,4.9872
-97.1,26.39,4.9793
-97.05,26.39,4.9723
-97.0,26.39,4.9649
-96.95,26.39,4.9559
-96.9,26.39,4.945
-96.85,26.39,4.933
-96.8,26.39,4.9206
-96.75,26.39,4.9089
-96.7,26.39,4.8984
-96.65,26.39,4.8892
-96.6,26.39,4.8815
-96.55,26.39,4.875
-96.5,26.39,4.8697
-96.45,26.39,4.8656
-96.4,26.39,4.8624
-96.35,26.39,4.8595
-99.05,26.44,5.4533
-99.0,26.44,5.4417
-98.95,26.44,5.4302
-98.9,26.44,5.4189
-98.85,26.44,5.4085
-98.8,26.44,5.3992
-98.75,26.44,5.3913
-98.7,26.44,5.3845
-98.65,26.44,5.3781
-98.6,26.44,5.3707
-98.55,26.44,5.3616
-98.5,26.44,5.3505
-98.45,26.44,5.3381
-98.4,26.44,5.3258
-98.35,26.44,5.3148
-98.3,26.44,5.3059
-98.25,26.44,5.2989
-98.2,26.44,5.2929
-98.15,26.44,5.2869
-98.1,26.44,5.2802
-98.05,26.44,5.2728
-98.0,26.44,5.265
-97.95,26.44,5.1203
-97.9,26.44,5.1131
-97.85,26.44,5.1065
-97.8,26.44,5.1006
-97.75,26.44,5.0954
-97.7,26.44,5.0911
-97.65,26.44,5.0877
-97.6,26.44,5.0848
-97.55,26.44,5.0814
-97.5,26.44,5.0764
-97.45,26.44,5.0685
-97.4,26.44,5.0574
-97.35,26.44,5.0436
-97.3,26.44,5.0284
-97.25,26.44,5.0136
-97.2,26.44,5.0008
-97.15,26.44,4.9907
-97.1,26.44,4.9827
-97.05,26.44,4.9759
-97.0,26.44,4.9688
-96.95,26.44,4.9601
-96.9,26.44,4.9496
-96.85,26.44,4.9376
-96.8,26.44,4.9248
-96.75,26.44,4.9122
-96.7,26.44,4.9004
-96.65,26.44,4.8898
-96.6,26.44,4.8808
-96.55,26.44,4.8733
-96.5,26.44,4.8675
-96.45,26.44,4.8631
-96.4,26.44,4.8598
-96.35,26.44,4.8568
-99.1,26.49,5.4683
-99.05,26.49,5.4569
-99.0,26.49,5.445
-98.95,26.49,5.4331
-98.9,26.49,5.4215
-98.85,26.49,5.4105
-98.8,26.49,5.4008
-98.75,26.49,5.3926
-98.7,26.49,5.3856
-98.65,26.49,5.379
-98.6,26.49,5.3717
-98.55,26.49,5.3628
-98.5,26.49,5.3519
-98.45,26.49,5.3396
-98.4,26.49,5.3272
-98.35,26.49,5.3161
-98.3,26.49,5.3071
-98.25,26.49,5.3001
-98.2,26.49,5.2941
-98.15,26.49,5.2882
-98.1,26.49,5.2816
-98.05,26.49,5.2742
-98.0,26.49,5.2662
-97.95,26.49,5.1231
-97.9,26.49,5.1154
-97.85,26.49,5.1081
-97.8,26.49,5.1015
-97.75,26.49,5.0958
-97.7,26.49,5.0912
-97.65,26.49,5.0878
-97.6,26.49,5.0853
-97.55,26.49,5.0826
-97.5,26.49,5.0782
-97.45,26.49,5.0709
-97.4,26.49,5.0604
-97.35,26.49,5.047
-97.3,26.49,5.0323
-97.25,26.49,5.0179
-97.2,26.49,5.0053
-97.15,26.49,4.9952
-97.1,26.49,4.9873
-97.05,26.49,4.9805
-97.0,26.49,4.9734
-96.95,26.49,4.965
-96.9,26.49,4.9546
-96.85,26.49,4.9425
-96.8,26.49,4.9293
-96.75,26.49,4.9158
-96.7,26.49,4.903
-96.65,26.49,4.8913
-96.6,26.49,4.8813
-96.55,26.49,4.8731
-96.5,26.49,4.8668
-96.45,26.49,4.8622
-96.4,26.49,4.8588
-96.35,26.49,4.8555
-96.3,26.49,4.8515
-99.1,26.54,5.4721
-99.05,26.54,5.4607
-99.0,26.54,5.4487
-98.95,26.54,5.4364
-98.9,26.54,5.4243
-98.85,26.54,5.4128
-98.8,26.54,5.4024
-98.75,26.54,5.3934
-98.7,26.54,5.3857
-98.65,26.54,5.3785
-98.6,26.54,5.3709
-98.55,26.54,5.3618
-98.5,26.54,5.3511
-98.45,26.54,5.3391
-98.4,26.54,5.3271
-98.35,26.54,5.3163
-98.3,26.54,5.3074
-98.25,26.54,5.3003
-98.2,26.54,5.2944
-98.15,26.54,5.2885
-98.1,26.54,5.2819
-98.05,26.54,5.2743
-98.0,26.54,5.266
-97.95,26.54,5.1249
-97.9,26.54,5.1167
-97.85,26.54,5.109
-97.8,26.54,5.1021
-97.75,26.54,5.0961
-97.7,26.54,5.0914
-97.65,26.54,5.0882
-97.6,26.54,5.0861
-97.55,26.54,5.0839
-97.5,26.54,5.0801
-97.45,26.54,5.0735
-97.4,26.54,5.0636
-97.35,26.54,5.0509
-97.3,26.54,5.0367
-97.25,26.54,5.0228
-97.2,26.54,5.0105
-97.15,26.54,5.0006
-97.1,26.54,4.9926
-97.05,26.54,4.9857
-97.0,26.54,4.9785
-96.95,26.54,4.97
-96.9,26.54,4.9596
-96.85,26.54,4.9474
-96.8,26.54,4.934
-96.75,26.54,4.9201
-96.7,26.54,4.9067
-96.65,26.54,4.8944
-96.6,26.54,4.8838
-96.55,26.54,4.8752
-96.5,26.54,4.8687
-96.45,26.54,4.8639
-96.4,26.54,4.8602
-96.35,26.54,4.8567
-96.3,26.54,4.8523
-96.25,26.54,4.8463
-99.1,26.59,5.4757
-99.05,26.59,5.4645
-99.0,26.59,5.4525
-98.95,26.59,5.44
-98.9,26.59,5.4273
-98.85,26.59,5.415
-98.8,26.59,5.4036
-98.75,26.59,5.3936
-98.7,26.59,5.3848
-98.65,26.59,5.3766
-98.6,26.59,5.3682
-98.55,26.59,5.3589
-98.5,26.59,5.3483
-98.45,26.59,5.3369
-98.4,26.59,5.3255
-98.35,26.59,5.3152
-98.3,26.59,5.3066
-98.25,26.59,5.2998
-98.2,26.59,5.2939
-98.15,26.59,5.288
-98.1,26.59,5.2814
-98.05,26.59,5.2738
-98.0,26.59,5.2654
-97.95,26.59,5.1265
-97.9,26.59,5.118
-97.85,26.59,5.1101
-97.8,26.59,5.103
-97.75,26.59,5.0969
-97.7,26.59,5.0923
-97.65,26.59,5.0892
-97.6,26.59,5.0872
-97.55,26.59,5.0854
-97.5,26.59,5.0821
-97.45,26.59,5.076
-97.4,26.59,5.0668
-97.35,26.59,5.0549
-97.3,26.59,5.0414
-97.25,26.59,5.0281
-97.2,26.59,5.0163
-97.15,26.59,5.0064
-97.1,26.59,4.9982
-97.05,26.59,4.991
-97.0,26.59,4.9835
-96.95,26.59,4.9748
-96.9,26.59,4.9643
-96.85,26.59,4.9522
-96.8,26.59,4.9388
-96.75,26.59,4.925
-96.7,26.59,4.9115
-96.65,26.59,4.8992
-96.6,26.59,4.8885
-96.55,26.59,4.8798
-96.5,26.59,4.8732
-96.45,26.59,4.8683
-96.4,26.59,4.8645
-96.35,26.59,4.8607
-96.3,26.59,4.8558
-96.25,26.59,4.8493
-99.1,26.64,5.4792
-99.05,26.64,5.4683
-99.0,26.64,5.4563
-98.95,26.64,5.4435
-98.9,26.64,5.4301
-98.85,26.64,5.4169
-98.8,26.64,5.4044
-98.75,26.64,5.3932
-98.7,26.64,5.3831
-98.65,26.64,5.3738
-98.6,26.64,5.3646
-98.55,26.64,5.3548
-98.5,26.64,5.3444
-98.45,26.64,5.3335
-98.4,26.64,5.323
-98.35,26.64,5.3135
-98.3,26.64,5.3054
-98.25,26.64,5.2989
-98.2,26.64,5.2932
-98.15,26.64,5.2875
-98.1,26.64,5.281
-98.05,26.64,5.2736
-98.0,26.64,5.2653
-97.95,26.64,5.1289
-97.9,26.64,5.1204
-97.85,26.64,5.1124
-97.8,26.64,5.1051
-97.75,26.64,5.0989
-97.7,26.64,5.0941
-97.65,26.64,5.0908
-97.6,26.64,5.0888
-97.55,26.64,5.0869
-97.5,26.64,5.0839
-97.45,26.64,5.0783
-97.4,26.64,5.0698
-97.35,26.64,5.0587
-97.3,26.64,5.0461
-97.25,26.64,5.0335
-97.2,26.64,5.022
-97.15,26.64,5.0122
-97.1,26.64,5.0039
-97.05,26.64,4.9962
-97.0,26.64,4.9883
-96.95,26.64,4.9793
-96.9,26.64,4.9687
-96.85,26.64,4.9567
-96.8,26.64,4.9437
