longitude,latitude,elevation_m
-97.05,25.92,5.3
-96.97,25.92,3.1
-97.21,26.0,3.3
-97.13,26.0,3.1
-97.05,26.0,1.3
-96.97,26.0,0.0
-96.89,26.0,0.0
-96.81,26.0,0.0
-97.53,26.08,3.7
-97.45,26.08,0.2
-97.37,26.08,1.0
-97.29,26.08,2.3
-97.21,26.08,0.6
-97.13,26.08,0.0
-97.05,26.08,0.0
-96.97,26.08,0.2
-96.89,26.08,0.0
-96.81,26.08,0.1
-96.73,26.08,0.0
-98.09,26.16,0.0
-98.01,26.16,0.0
-97.93,26.16,1.9
-97.85,26.16,3.0
-97.77,26.16,0.3
-97.69,26.16,0.0
-97.61,26.16,0.0
-97.53,26.16,0.0
-97.45,26.16,0.0
-97.37,26.16,0.0
-97.29,26.16,2.8
-97.21,26.16,2.4
-97.13,26.16,0.3
-97.05,26.16,0.0
-96.97,26.16,0.0
-96.89,26.16,0.0
-96.81,26.16,1.4
-96.73,26.16,0.0
-96.65,26.16,0.0
-98.65,26.24,17.8
-98.57,26.24,13.6
-98.49,26.24,12.8
-98.41,26.24,8.3
-98.33,26.24,2.9
-98.25,26.24,0.0
-98.17,26.24,0.0
-98.09,26.24,0.0
-98.01,26.24,1.4
-97.93,26.24,2.9
-97.85,26.24,2.0
-97.77,26.24,0.0
-97.69,26.24,0.0
-97.61,26.24,0.0
-97.53,26.24,0.0
-97.45,26.24,0.0
-97.37,26.24,0.6
-97.29,26.24,5.5
-97.21,26.24,5.1
-97.13,26.24,2.0
-97.05,26.24,0.0
-96.97,26.24,0.0
-96.89,26.24,0.0
-96.81,26.24,0.0
-96.73,26.24,0.1
-96.65,26.24,0.0
-96.57,26.24,1.1
-98.81,26.32,29.2
-98.73,26.32,25.4
-98.65,26.32,22.2
-98.57,26.32,18.1
-98.49,26.32,13.6
-98.41,26.32,9.3
-98.33,26.32,6.4
-98.25,26.32,4.0
-98.17,26.32,0.2
-98.09,26.32,0.0
-98.01,26.32,0.6
-97.93,26.32,1.6
-97.85,26.32,0.0
-97.77,26.32,0.0
-97.69,26.32,0.0
-97.61,26.32,0.1
-97.53,26.32,2.1
-97.45,26.32,2.8
-97.37,26.32,0.8
-97.29,26.32,3.4
-97.21,26.32,3.5
-97.13,26.32,0.9
-97.05,26.32,0.0
-96.97,26.32,0.0
-96.89,26.32,0.0
-96.81,26.32,0.0
-96.73,26.32,2.6
-96.65,26.32,2.9
-96.57,26.32,2.7
-96.49,26.32,0.0
-98.97,26.4,35.5
-98.89,26.4,33.1
-98.81,26.4,31.4
-98.73,26.4,30.7
-98.65,26.4,28.4
-98.57,26.4,22.1
-98.49,26.4,15.9
-98.41,26.4,12.7
-98.33,26.4,9.4
-98.25,26.4,5.2
-98.17,26.4,0.0
-98.09,26.4,0.0
-98.01,26.4,0.8
-97.93,26.4,1.7
-97.85,26.4,0.0
-97.77,26.4,0.0
-97.69,26.4,0.0
-97.61,26.4,0.0
-97.53,26.4,2.9
-97.45,26.4,3.8
-97.37,26.4,0.0
-97.29,26.4,0.0
-97.21,26.4,0.0
-97.13,26.4,0.0
-97.05,26.4,0.0
-96.97,26.4,0.0
-96.89,26.4,0.0
-96.81,26.4,0.0
-96.73,26.4,2.6
-96.65,26.4,2.6
-96.57,26.4,2.7
-96.49,26.4,0.0
-96.41,26.4,0.0
-99.05,26.48,42.9
-98.97,26.48,41.3
-98.89,26.48,36.2
-98.81,26.48,36.5
-98.73,26.48,37.3
-98.65,26.48,31.5
-98.57,26.48,23.3
-98.49,26.48,18.5
-98.41,26.48,16.6
-98.33,26.48,8.3
-98.25,26.48,2.1
-98.17,26.48,0.0
-98.09,26.48,0.0
-98.01,26.48,0.0
-97.93,26.48,1.5
-97.85,26.48,0.3
-97.77,26.48,0.0
-97.69,26.48,0.0
-97.61,26.48,0.0
-97.53,26.48,0.5
-97.45,26.48,3.2
-97.37,26.48,1.1
-97.29,26.48,0.0
-97.21,26.48,0.0
-97.13,26.48,0.0
-97.05,26.48,0.0
-96.97,26.48,0.0
-96.89,26.48,0.0
-96.81,26.48,0.3
-96.73,26.48,0.9
-96.65,26.48,2.2
-96.57,26.48,2.8
-96.49,26.48,0.0
-96.41,26.48,0.0
-96.33,26.48,0.0
-99.05,26.56,49.7
-98.97,26.56,46.5
-98.89,26.56,41.4
-98.81,26.56,42.5
-98.73,26.56,40.1
-98.65,26.56,33.4
-98.57,26.56,27.6
-98.49,26.56,24.0
-98.41,26.56,19.0
-98.33,26.56,4.3
-98.25,26.56,0.0
-98.17,26.56,0.0
-98.09,26.56,0.3
-98.01,26.56,1.7
-97.93,26.56,4.5
-97.85,26.56,4.0
-97.77,26.56,0.0
-97.69,26.56,0.0
-97.61,26.56,0.0
-97.53,26.56,1.2
-97.45,26.56,4.1
-97.37,26.56,5.8
-97.29,26.56,3.3
-97.21,26.56,0.0
-97.13,26.56,0.0
-97.05,26.56,0.0
-96.97,26.56,0.0
-96.89,26.56,2.8
-96.81,26.56,3.7
-96.73,26.56,3.3
-96.65,26.56,4.1
-96.57,26.56,3.8
-96.49,26.56,0.0
-96.41,26.56,0.0
-96.33,26.56,0.0
-96.25,26.56,3.9
-99.13,26.64,53.6
-99.05,26.64,55.5
-98.97,26.64,54.7
-98.89,26.64,49.5
-98.81,26.64,48.3
-98.73,26.64,42.6
-98.65,26.64,38.2
-98.57,26.64,34.0
-98.49,26.64,27.6
-98.41,26.64,20.5
-98.33,26.64,7.8
-98.25,26.64,0.0
-98.17,26.64,0.0
-98.09,26.64,1.0
-98.01,26.64,3.4
-97.93,26.64,4.8
-97.85,26.64,1.6
-97.77,26.64,0.0
-97.69,26.64,0.0
-97.61,26.64,0.0
-97.53,26.64,2.3
-97.45,26.64,3.9
-97.37,26.64,6.2
-97.29,26.64,3.7
-97.21,26.64,0.0
-97.13,26.64,0.0
-97.05,26.64,0.0
-96.97,26.64,0.0
-96.89,26.64,3.3
-96.81,26.64,4.2
-96.73,26.64,5.5
-96.65,26.64,4.1
-96.57,26.64,3.3
-96.49,26.64,2.7
-96.41,26.64,0.0
-96.33,26.64,0.0
-96.25,26.64,3.1
-99.13,26.72,62.8
-99.05,26.72,61.0
-98.97,26.72,59.9
-98.89,26.72,56.5
-98.81,26.72,54.8
-98.73,26.72,46.8
-98.65,26.72,40.1
-98.57,26.72,36.4
-98.49,26.72,29.8
-98.41,26.72,23.6
-98.33,26.72,14.5
-98.25,26.72,9.0
-98.17,26.72,4.0
-98.09,26.72,0.7
-98.01,26.72,2.4
-97.93,26.72,0.8
-97.85,26.72,0.0
-97.77,26.72,0.0
-97.69,26.72,1.1
-97.61,26.72,0.0
-97.53,26.72,1.0
-97.45,26.72,0.1
-97.37,26.72,0.9
-97.29,26.72,1.6
-97.21,26.72,0.0
-97.13,26.72,0.1
-97.05,26.72,1.1
-96.97,26.72,0.0
-96.89,26.72,0.0
-96.81,26.72,0.0
-96.73,26.72,0.2
-96.65,26.72,1.3
-96.57,26.72,1.6
-96.49,26.72,0.0
-96.41,26.72,0.0
-96.33,26.72,0.6
-96.25,26.72,2.8
-96.17,26.72,4.4
-99.13,26.8,68.3
-99.05,26.8,64.9
-98.97,26.8,62.5
-98.89,26.8,61.8
-98.81,26.8,60.5
-98.73,26.8,52.8
-98.65,26.8,45.2
-98.57,26.8,40.9
-98.49,26.8,33.7
-98.41,26.8,24.1
-98.33,26.8,13.2
-98.25,26.8,9.7
-98.17,26.8,6.2
-98.09,26.8,1.3
-98.01,26.8,1.8
-97.93,26.8,0.5
-97.85,26.8,0.0
-97.77,26.8,0.0
-97.69,26.8,0.3
-97.61,26.8,0.0
-97.53,26.8,0.2
-97.45,26.8,0.0
-97.37,26.8,0.0
-97.29,26.8,0.0
-97.21,26.8,0.0
-97.13,26.8,0.3
-97.05,26.8,1.8
-96.97,26.8,0.0
-96.89,26.8,0.0
-96.81,26.8,0.0
-96.73,26.8,0.0
-96.65,26.8,0.0
-96.57,26.8,0.0
-96.49,26.8,0.0
-96.41,26.8,0.0
-96.33,26.8,1.3
-96.25,26.8,4.0
-96.17,26.8,2.9
-96.09,26.8,4.7
-99.13,26.88,75.0
-99.05,26.88,73.4
-98.97,26.88,69.2
-98.89,26.88,66.1
-98.81,26.88,65.0
-98.73,26.88,62.7
-98.65,26.88,57.0
-98.57,26.88,48.9
-98.49,26.88,38.8
-98.41,26.88,27.9
-98.33,26.88,15.5
-98.25,26.88,9.0
-98.17,26.88,6.5
-98.09,26.88,2.4
-98.01,26.88,0.4
-97.93,26.88,1.7
-97.85,26.88,2.9
-97.77,26.88,0.7
-97.69,26.88,0.0
-97.61,26.88,0.0
-97.53,26.88,0.0
-97.45,26.88,0.0
-97.37,26.88,0.0
-97.29,26.88,1.5
-97.21,26.88,1.5
-97.13,26.88,2.0
-97.05,26.88,3.0
-96.97,26.88,2.9
-96.89,26.88,0.0
-96.81,26.88,0.0
-96.73,26.88,0.0
-96.65,26.88,0.0
-96.57,26.88,0.0
-96.49,26.88,0.0
-96.41,26.88,0.0
-96.33,26.88,0.0
-96.25,26.88,0.0
-96.17,26.88,0.3
-96.09,26.88,4.1
-99.13,26.96,82.2
-99.05,26.96,79.7
-98.97,26.96,76.9
-98.89,26.96,72.8
-98.81,26.96,71.6
-98.73,26.96,69.6
-98.65,26.96,65.0
-98.57,26.96,55.2
-98.49,26.96,44.5
-98.41,26.96,32.9
-98.33,26.96,20.6
-98.25,26.96,10.6
-98.17,26.96,5.2
-98.09,26.96,4.3
-98.01,26.96,1.5
-97.93,26.96,0.0
-97.85,26.96,0.0
-97.77,26.96,0.0
-97.69,26.96,0.0
-97.61,26.96,0.0
-97.53,26.96,0.0
-97.45,26.96,0.0
-97.37,26.96,0.7
-97.29,26.96,3.7
-97.21,26.96,4.3
-97.13,26.96,4.1
-97.05,26.96,3.7
-96.97,26.96,4.8
-96.89,26.96,2.0
-96.81,26.96,0.0
-96.73,26.96,0.0
-96.65,26.96,0.8
-96.57,26.96,1.3
-96.49,26.96,0.0
-96.41,26.96,0.0
-96.33,26.96,0.0
-96.25,26.96,0.0
-96.17,26.96,0.2
-96.09,26.96,3.9
-96.01,26.96,2.4
-99.13,27.04,85.2
-99.05,27.04,83.2
-98.97,27.04,84.6
-98.89,27.04,84.5
-98.81,27.04,83.6
-98.73,27.04,79.0
-98.65,27.04,73.1
-98.57,27.04,62.8
-98.49,27.04,50.2
-98.41,27.04,37.7
-98.33,27.04,24.7
-98.25,27.04,13.8
-98.17,27.04,4.9
-98.09,27.04,2.0
-98.01,27.04,2.4
-97.93,27.04,0.0
-97.85,27.04,0.0
-97.77,27.04,1.1
-97.69,27.04,3.8
-97.61,27.04,1.1
-97.53,27.04,0.0
-97.45,27.04,1.1
-97.37,27.04,3.8
-97.29,27.04,2.1
-97.21,27.04,0.0
-97.13,27.04,1.5
-97.05,27.04,2.7
-96.97,27.04,3.0
-96.89,27.04,4.3
-96.81,27.04,4.4
-96.73,27.04,0.0
-96.65,27.04,0.0
-96.57,27.04,0.3
-96.49,27.04,2.1
-96.41,27.04,1.1
-96.33,27.04,0.0
-96.25,27.04,0.0
-96.17,27.04,0.0
-96.09,27.04,0.7
-96.01,27.04,0.0
-99.21,27.12,99.2
-99.13,27.12,95.2
-99.05,27.12,93.3
-98.97,27.12,93.1
-98.89,27.12,93.6
-98.81,27.12,93.0
-98.73,27.12,87.3
-98.65,27.12,81.5
-98.57,27.12,72.3
-98.49,27.12,58.9
-98.41,27.12,45.3
-98.33,27.12,29.5
-98.25,27.12,16.5
-98.17,27.12,7.1
-98.09,27.12,1.3
-98.01,27.12,1.4
-97.93,27.12,0.0
-97.85,27.12,0.0
-97.77,27.12,0.3
-97.69,27.12,3.0
-97.61,27.12,0.0
-97.53,27.12,0.0
-97.45,27.12,2.2
-97.37,27.12,5.7
-97.29,27.12,3.5
-97.21,27.12,0.0
-97.13,27.12,0.0
-97.05,27.12,0.0
-96.97,27.12,0.0
-96.89,27.12,2.0
-96.81,27.12,3.4
-96.73,27.12,0.0
-96.65,27.12,0.0
-96.57,27.12,1.0
-96.49,27.12,5.2
-96.41,27.12,3.2
-96.33,27.12,0.8
-96.25,27.12,0.0
-96.17,27.12,0.0
-96.09,27.12,0.0
-96.01,27.12,0.0
-95.93,27.12,0.0
-99.21,27.2,108.6
-99.13,27.2,109.3
-99.05,27.2,110.2
-98.97,27.2,108.9
-98.89,27.2,106.1
-98.81,27.2,101.8
-98.73,27.2,93.8
-98.65,27.2,87.5
-98.57,27.2,78.7
-98.49,27.2,66.8
-98.41,27.2,53.0
-98.33,27.2,34.2
-98.25,27.2,19.6
-98.17,27.2,12.3
-98.09,27.2,4.5
-98.01,27.2,2.1
-97.93,27.2,0.0
-97.85,27.2,0.0
-97.77,27.2,0.0
-97.69,27.2,0.0
-97.61,27.2,0.0
-97.53,27.2,0.0
-97.45,27.2,0.2
-97.37,27.2,4.5
-97.29,27.2,6.2
-97.21,27.2,3.1
-97.13,27.2,1.6
-97.05,27.2,0.0
-96.97,27.2,0.0
-96.89,27.2,0.0
-96.81,27.2,0.6
-96.73,27.2,1.2
-96.65,27.2,1.8
-96.57,27.2,2.6
-96.49,27.2,3.3
-96.41,27.2,1.6
-96.33,27.2,0.1
-96.25,27.2,2.2
-96.17,27.2,3.4
-96.09,27.2,0.6
-96.01,27.2,0.0
-95.93,27.2,0.0
-99.21,27.28,121.4
-99.13,27.28,121.6
-99.05,27.28,121.8
-98.97,27.28,121.1
-98.89,27.28,119.4
-98.81,27.28,113.3
-98.73,27.28,104.6
-98.65,27.28,97.0
