longitude,latitude,wpd_w_m2,iec_wind_class,hub_height_m
-97.05,25.89,276.5,3,100
-97.0,25.89,276.6,3,100
-97.1,25.94,274.52,3,100
-97.05,25.94,276.43,3,100
-97.0,25.94,277.28,3,100
-96.95,25.94,277.84,3,100
-96.9,25.94,281.06,3,100
-97.2,25.99,272.0,3,100
-97.15,25.99,273.06,3,100
-97.1,25.99,273.9,3,100
-97.05,25.99,275.7,3,100
-97.0,25.99,277.56,3,100
-96.95,25.99,279.44,3,100
-96.9,25.99,283.27,3,100
-96.85,25.99,289.02,3,100
-96.8,25.99,293.36,3,100
-97.3,26.04,260.43,3,100
-97.25,26.04,266.04,3,100
-97.2,26.04,269.57,3,100
-97.15,26.04,270.77,3,100
-97.1,26.04,271.54,3,100
-97.05,26.04,273.69,3,100
-97.0,26.04,276.67,3,100
-96.95,26.04,279.63,3,100
-96.9,26.04,283.3,3,100
-96.85,26.04,287.63,3,100
-96.8,26.04,290.28,3,100
-96.75,26.04,289.48,3,100
-97.6,26.09,228.99,3,100
-97.55,26.09,236.85,3,100
-97.5,26.09,242.19,3,100
-97.45,26.09,244.17,3,100
-97.4,26.09,245.45,3,100
-97.35,26.09,248.93,3,100
-97.3,26.09,254.69,3,100
-97.25,26.09,260.86,3,100
-97.2,26.09,265.27,3,100
-97.15,26.09,267.22,3,100
-97.1,26.09,268.5,3,100
-97.05,26.09,271.12,3,100
-97.0,26.09,274.77,3,100
-96.95,26.09,278.16,3,100
-96.9,26.09,281.09,3,100
-96.85,26.09,283.31,3,100
-96.8,26.09,283.75,3,100
-96.75,26.09,282.15,3,100
-96.7,26.09,280.64,3,100
-97.95,26.14,198.48,2,100
-97.9,26.14,200.97,3,100
-97.85,26.14,203.76,3,100
-97.8,26.14,206.24,3,100
-97.75,26.14,207.88,3,100
-97.7,26.14,209.88,3,100
-97.65,26.14,214.37,3,100
-97.6,26.14,221.87,3,100
-97.55,26.14,230.32,3,100
-97.5,26.14,236.61,3,100
-97.45,26.14,239.32,3,100
-97.4,26.14,240.4,3,100
-97.35,26.14,243.15,3,100
-97.3,26.14,248.68,3,100
-97.25,26.14,255.5,3,100
-97.2,26.14,261.22,3,100
-97.15,26.14,264.6,3,100
-97.1,26.14,266.8,3,100
-97.05,26.14,269.59,3,100
-97.0,26.14,273.0,3,100
-96.95,26.14,276.12,3,100
-96.9,26.14,278.38,3,100
-96.85,26.14,279.24,3,100
-96.8,26.14,278.44,3,100
-96.75,26.14,276.77,3,100
-96.7,26.14,276.01,3,100
-96.65,26.14,277.49,3,100
-98.3,26.19,186.6,2,100
-98.25,26.19,187.81,2,100
-98.2,26.19,189.6,2,100
-98.15,26.19,190.34,2,100
-98.1,26.19,190.58,2,100
-98.05,26.19,191.86,2,100
-98.0,26.19,193.95,2,100
-97.95,26.19,196.03,2,100
-97.9,26.19,198.38,2,100
-97.85,26.19,201.12,3,100
-97.8,26.19,203.15,3,100
-97.75,26.19,204.02,3,100
-97.7,26.19,205.28,3,100
-97.65,26.19,208.94,3,100
-97.6,26.19,215.5,3,100
-97.55,26.19,223.8,3,100
-97.5,26.19,231.33,3,100
-97.45,26.19,235.68,3,100
-97.4,26.19,237.38,3,100
-97.35,26.19,239.61,3,100
-97.3,26.19,244.47,3,100
-97.25,26.19,251.37,3,100
-97.2,26.19,258.18,3,100
-97.15,26.19,263.1,3,100
-97.1,26.19,266.39,3,100
-97.05,26.19,269.24,3,100
-97.0,26.19,271.84,3,100
-96.95,26.19,274.02,3,100
-96.9,26.19,275.76,3,100
-96.85,26.19,276.65,3,100
-96.8,26.19,276.6,3,100
-96.75,26.19,276.14,3,100
-96.7,26.19,275.91,3,100
-96.65,26.19,276.62,3,100
-96.6,26.19,278.15,3,100
-98.6,26.24,173.69,2,100
-98.55,26.24,175.03,2,100
-98.5,26.24,178.24,2,100
-98.45,26.24,182.48,2,100
-98.4,26.24,185.78,2,100
-98.35,26.24,187.38,2,100
-98.3,26.24,188.88,2,100
-98.25,26.24,191.72,2,100
-98.2,26.24,194.47,2,100
-98.15,26.24,194.87,2,100
-98.1,26.24,193.75,2,100
-98.05,26.24,193.6,2,100
-98.0,26.24,194.66,2,100
-97.95,26.24,195.75,2,100
-97.9,26.24,197.01,2,100
-97.85,26.24,198.93,2,100
-97.8,26.24,200.7,3,100
-97.75,26.24,201.73,3,100
-97.7,26.24,203.17,3,100
-97.65,26.24,206.39,3,100
-97.6,26.24,211.96,3,100
-97.55,26.24,219.89,3,100
-97.5,26.24,228.43,3,100
-97.45,26.24,234.44,3,100
-97.4,26.24,237.12,3,100
-97.35,26.24,239.09,3,100
-97.3,26.24,242.94,3,100
-97.25,26.24,249.08,3,100
-97.2,26.24,255.87,3,100
-97.15,26.24,261.38,3,100
-97.1,26.24,265.37,3,100
-97.05,26.24,268.41,3,100
-97.0,26.24,270.33,3,100
-96.95,26.24,271.45,3,100
-96.9,26.24,272.77,3,100
-96.85,26.24,274.57,3,100
-96.8,26.24,276.56,3,100
-96.75,26.24,278.18,3,100
-96.7,26.24,278.54,3,100
-96.65,26.24,277.88,3,100
-96.6,26.24,277.42,3,100
-96.55,26.24,276.95,3,100
-98.75,26.29,176.57,2,100
-98.7,26.29,175.55,2,100
-98.65,26.29,175.54,2,100
-98.6,26.29,175.3,2,100
-98.55,26.29,175.5,2,100
-98.5,26.29,177.58,2,100
-98.45,26.29,181.44,2,100
-98.4,26.29,185.35,2,100
-98.35,26.29,188.37,2,100
-98.3,26.29,191.69,2,100
-98.25,26.29,196.02,2,100
-98.2,26.29,199.24,2,100
-98.15,26.29,199.06,2,100
-98.1,26.29,196.75,2,100
-98.05,26.29,195.37,2,100
-98.0,26.29,195.44,2,100
-97.95,26.29,195.3,2,100
-97.9,26.29,194.78,2,100
-97.85,26.29,195.15,2,100
-97.8,26.29,196.58,2,100
-97.75,26.29,198.45,2,100
-97.7,26.29,201.03,3,100
-97.65,26.29,204.85,3,100
-97.6,26.29,210.27,3,100
-97.55,26.29,217.76,3,100
-97.5,26.29,226.28,3,100
-97.45,26.29,232.96,3,100
-97.4,26.29,236.67,3,100
-97.35,26.29,239.28,3,100
-97.3,26.29,242.98,3,100
-97.25,26.29,248.36,3,100
-97.2,26.29,254.21,3,100
-97.15,26.29,259.05,3,100
-97.1,26.29,262.96,3,100
-97.05,26.29,266.25,3,100
-97.0,26.29,268.08,3,100
-96.95,26.29,268.69,3,100
-96.9,26.29,269.8,3,100
-96.85,26.29,272.28,3,100
-96.8,26.29,275.64,3,100
-96.75,26.29,278.54,3,100
-96.7,26.29,279.35,3,100
-96.65,26.29,277.96,3,100
-96.6,26.29,276.04,3,100
